VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Whistle_A.wav,3,NEW,,,3,1,0.38716,0,51,51,51,1,,
,,,,,,,,,,,,,1,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,1,OLD,,,2,0,1.3966,0,52,52,52,1,,
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_D.wav,2,SIMILAR,,,2,1,1.77178,0,53,53,53,1,,
,,,,,,,,,,,,,1,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chicken_A.wav,1,OLD,,,3,0,1.01677,0,54,54,54,1,,
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Bagpipe.wav,3,NEW,,,3,1,0.358795,0,55,55,55,1,,
,,,,,,,,,,,,,1,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/IceDrop.wav,1,OLD,,,1,1,0.50274,0,56,56,56,1,,
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chomp_B.wav,3,NEW,,,3,1,0.317245,0,57,57,57,1,,
,,,,,,,,,,,,,1,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Airplane_B.wav,1,OLD,,,1,1,0.293515,0,58,58,58,1,,
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bird.wav,2,SIMILAR,,,2,1,0.32651,0,59,59,59,1,,
,,,,,,,,,,,,,2,5d97bf1cfaa2860015b165a6,001,2021-02-17_19h51.51.428,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_C.wav,2,SIMILAR,,,2,1,2.805715,0,60,60,60,1,,
