VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile5,Correct2,Type,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Cat_A.wav,1,OLD,,,1,1,0.18775,0,64,64,64,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Phone_D.wav,3,NEW,,,2,1,0.03602,0,65,65,65,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Bagpipe.wav,3,NEW,,,2,1,0.405955,0,66,66,66,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Chomp_C.wav,2,SIMILAR,,,1,0,0.32639,0,67,67,67,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Slurp.wav,1,OLD,,,2,0,0.622025,0,68,68,68,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,3,NEW,,,2,1,0.01828,0,69,69,69,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Bubbles_A.wav,1,OLD,,,1,1,0.13029,0,70,70,70,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,3,NEW,,,2,1,0.25207,0,71,71,71,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Doubled/Siren_A.wav,3,NEW,,,2,1,0.02286,0,72,72,72,1,,
,,,,,,,,,,,,,2,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Crow_B.wav,3,NEW,,,1,0,0.42839,0,73,73,73,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Bagpipe.wav,1,OLD,,,1,1,0.935355,0,74,74,74,1,,
,,,,,,,,,,,,,1,5f2b280ea50bc45370328ee3,001,2021-02-18_17h04.07.953,GuessTheSound,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,Initial/Repeat/Cup.wav,1,OLD,,,2,0,0.95035,0,75,75,75,1,,
