VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Goat_B.wav,2,3,NEW,B,,,2,1,0.85365,0,44,44,44,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Coin_D.wav,2,3,NEW,B,,,2,1,0.627425,0,45,45,45,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Fireworks.wav,1,1,OLD,B,,,1,1,0.47178,0,46,46,46,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Donkey.wav,2,3,NEW,B,,,2,1,1.41775,0,47,47,47,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Howl.wav,2,3,NEW,B,,,2,1,0.75745,0,48,48,48,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Thunder_A.wav,1,1,OLD,B,,,1,1,0.26722,0,49,49,49,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Whistle_C.wav,2,2,SIMILAR,B,,,2,1,0.379145,0,50,50,50,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Helicopter_A.wav,2,3,NEW,B,,,2,1,0.289195,0,51,51,51,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Dog_F.wav,2,2,SIMILAR,B,,,2,1,5.709785,0,52,52,52,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Horse.wav,2,3,NEW,B,,,2,1,0.697625,0,53,53,53,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chomp_A.wav,2,3,NEW,B,,,2,1,5.57055,0,54,54,54,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Heartbeat.wav,1,1,OLD,B,,,1,1,0.28122,0,55,55,55,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Clap_C.wav,2,2,SIMILAR,B,,,1,0,0.215015,0,56,56,56,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Crow_B.wav,2,3,NEW,B,,,1,0,0.34842,0,57,57,57,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Growl_H.wav,2,2,SIMILAR,B,,,1,0,0.252585,0,58,58,58,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Printer.wav,2,3,NEW,B,,,2,1,0.32892,0,59,59,59,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cello.wav,1,1,OLD,B,,,1,1,0.25683,0,60,60,60,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Snore_E.wav,2,2,SIMILAR,B,,,1,0,1.304675,0,61,61,61,1,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/CarStart_E.wav,2,3,NEW,B,,,2,1,0.323555,0,62,62,62,1,,
