VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Correct2,Type,Trial,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Chick_A.wav,2,SIMILAR,B,,,2,1,1.885,0,25,25,25,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Dog_E.wav,3,NEW,B,,,3,1,0.52,0,26,26,26,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Bowlingpins.wav,1,OLD,B,,,1,1,0.875,0,27,27,27,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Fireworks.wav,3,NEW,B,,,3,1,1.226,0,28,28,28,1,,
,,,,,,,,,,,,,1,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/NoRepeat/Cow.wav,1,OLD,B,,,1,1,1.918,0,29,29,29,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Snore_D.wav,3,NEW,B,,,3,1,0.354,0,30,30,30,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Faucet_C.wav,2,SIMILAR,B,,,3,0,0.851,0,31,31,31,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Doubled/Chime_A.wav,2,SIMILAR,B,,,2,1,0.804,0,32,32,32,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Cough_E.wav,2,SIMILAR,B,,,1,0,0.783,0,33,33,33,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Test/Foils/Heartbeat.wav,3,NEW,B,,,3,1,0.918,0,34,34,34,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Laugh_D.wav,2,SIMILAR,B,,,2,1,1.633,0,35,35,35,1,,
,,,,,,,,,,,,,2,5e9757d83b0f220c5a60777d,001,2021-02-28_18h01.10.005,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,Initial/Repeat/Cello.wav,3,NEW,B,,,3,1,0.638,0,36,36,36,1,,
