VolumeContinueKey.keys,VolumeContinueKey.rt,ContinueResp.keys,ContinueResp.rt,Welcome2Continue.keys,Welcome2Continue.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,StartTast.keys,StartTast.rt,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,,,,Test/Foils/PaperRip.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,7.149,0,77,77,77,1,,
,,,,,,,,,,,,,,,,Test/Foils/Wind_B.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,6.297,0,78,78,78,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Helicopter_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,7.031,0,79,79,79,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Goat_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,3.718,0,80,80,80,1,,
,,,,,,,,,,,,,,,,Coin_B.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.843,0,81,81,81,1,,
,,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,3.768,0,82,82,82,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,2.776,0,83,83,83,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.356,0,84,84,84,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/Phone_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.241,0,85,85,85,1,,
,,,,,,,,,,,,,,,,Test/Foils/PaperRip.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.154,0,86,86,86,1,,
,,,,,,,,,,,,,,,,Initial/Doubled/Growl_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,0.489,0,87,87,87,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.455,0,88,88,88,1,,
,,,,,,,,,,,,,,,,Goat_A.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.237,0,89,89,89,1,,
,,,,,,,,,,,,,,,,Coin_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.141,0,90,90,90,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/Whistle_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,0,1.562,0,91,91,91,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Puff_A.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,0.294,0,92,92,92,1,,
,,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.304,0,93,93,93,1,,
,,,,,,,,,,,,,,,,Phone_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,2.831,0,94,94,94,1,,
,,,,,,,,,,,,,,,,Growl_B.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,1.661,0,95,95,95,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Thunder_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.422,0,96,96,96,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.372,0,97,97,97,1,,
,,,,,,,,,,,,,,,,Goat_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.255,0,98,98,98,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Faucet_A.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.741,0,99,99,99,1,,
,,,,,,,,,,,,,,,,Whistle_B.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.723,0,100,100,100,1,,
,,,,,,,,,,,,,,,,Initial/NoRepeat/Footsteps_B.wav,3,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,1,1.711,0,101,101,101,1,,
,,,,,,,,,,,,,,,,Growl_C.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.473,0,102,102,102,1,,
,,,,,,,,,,,,,,,,Phone_D.wav,2,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,2,1,0.523,0,103,103,103,1,,
,,,,,,,,,,,,,,,,Test/Foils/Bullfrog.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.122,0,104,104,104,1,,
,,,,,,,,,,,,,,,,Initial/Repeat/Howl.wav,1,5e1a085ee4398b28d4961d83,001,2021-01-18_20h43.17.779,GuessTheSound,2020.2.10,Win32,60,,,3,0,0.169,0,105,105,105,1,,
